batting_team,bowling_team,current_over,current_score,wickets_lost,target_over,target_score
PBKS,GT,15,118,3,16,129
RCB,DC,12,87,9,15,108
MI,LSG,11,96,1,18,166
RCB,MI,5,34,2,11,88
GT,SRH,10,81,5,17,157
RCB,RR,13,123,4,18,161
CSK,DC,5,32,3,6,44
CSK,DC,8,72,1,19,170
MI,KKR,13,117,4,16,137
PBKS,DC,5,33,4,14,143
DC,PBKS,5,31,0,15,143
RR,SRH,5,44,4,17,177
LSG,DC,12,80,9,15,97
GT,RCB,5,33,1,10,79
GT,RR,15,148,8,19,168
KKR,RCB,15,138,3,17,156
MI,CSK,6,38,3,16,120
RR,CSK,11,77,7,20,141
RCB,LSG,7,53,1,13,126
SRH,RR,14,118,9,20,144
LSG,RR,5,30,2,6,45
MI,SRH,12,99,5,17,137
LSG,SRH,9,63,7,17,130
SRH,CSK,7,49,5,17,112
GT,LSG,8,67,5,17,162
DC,RCB,9,73,4,19,191
CSK,RR,11,83,8,19,129
SRH,LSG,10,91,1,14,149
LSG,MI,10,82,5,14,125
GT,RR,7,61,3,8,70
KKR,PBKS,12,85,0,13,101
CSK,RCB,5,39,3,7,64
LSG,DC,7,68,4,13,109
RR,DC,15,105,6,18,129
GT,LSG,14,96,6,15,102
KKR,LSG,12,86,4,17,130
CSK,RR,7,58,0,12,138
SRH,GT,13,88,0,20,204
GT,MI,8,70,1,12,123
GT,LSG,15,133,6,18,161
CSK,KKR,6,59,0,17,184
SRH,GT,5,40,1,11,112
GT,SRH,10,69,2,12,86
LSG,KKR,9,81,2,15,130
KKR,LSG,9,54,2,14,106
RR,DC,13,121,7,20,155
GT,RCB,13,109,9,14,113
KKR,LSG,10,82,8,16,132
RCB,RR,15,124,4,16,132
MI,LSG,8,68,3,19,184
SRH,GT,11,74,0,13,103
RR,RCB,9,56,1,12,95
KKR,SRH,9,67,1,20,173
SRH,MI,11,95,5,15,128
DC,SRH,15,98,3,20,159
KKR,DC,12,90,8,17,118
RCB,SRH,5,41,3,10,83
PBKS,DC,7,58,0,17,221
GT,SRH,15,127,6,16,133
CSK,SRH,15,127,1,17,152
GT,MI,9,80,0,19,198
RR,RCB,14,136,1,20,209
MI,RCB,8,73,6,16,149
RR,GT,6,47,0,12,113
RR,MI,6,58,4,11,102
MI,SRH,12,105,3,19,170
RCB,DC,9,54,1,19,186
SRH,CSK,13,113,9,16,130
CSK,RR,5,33,1,17,146
RR,KKR,6,56,0,18,193
MI,RCB,5,48,2,17,194
RCB,DC,14,89,5,15,98
DC,SRH,9,78,1,13,140
GT,MI,12,106,3,13,118
SRH,KKR,13,115,9,15,128
GT,LSG,5,45,1,19,260
SRH,RR,11,95,3,12,108
RR,KKR,13,102,8,18,135
PBKS,RR,8,64,0,19,240
RR,CSK,14,94,1,19,156
KKR,CSK,5,31,2,15,140
LSG,GT,14,93,0,18,148
CSK,GT,9,84,2,16,156
KKR,MI,13,113,6,19,155
GT,SRH,5,46,4,9,75
RCB,MI,15,100,3,18,124
LSG,DC,12,103,7,13,110
KKR,SRH,8,50,6,10,61
GT,DC,14,133,1,18,198
PBKS,LSG,5,40,0,9,83
PBKS,KKR,14,119,2,19,196
RCB,SRH,11,97,2,20,181
MI,KKR,5,40,1,13,172
MI,RR,15,94,7,20,127
MI,SRH,15,143,9,20,175
PBKS,GT,7,50,0,17,194
SRH,PBKS,7,55,0,18,247
RR,GT,13,116,4,16,137
RR,RCB,8,57,3,20,198
GT,MI,11,84,3,17,164
GT,KKR,5,34,0,12,155
RR,CSK,5,48,1,8,91
RR,PBKS,12,80,0,16,150
RR,GT,14,126,9,17,140
CSK,RR,15,144,4,17,161
KKR,RR,15,96,6,16,104
GT,CSK,12,98,4,18,157
KKR,RCB,13,93,8,16,112
RCB,KKR,15,97,0,16,114
SRH,RR,6,58,1,9,86
MI,GT,8,70,3,18,169
SRH,LSG,13,104,9,20,141
MI,RR,8,71,5,16,159
DC,RCB,10,95,0,19,212
MI,RCB,15,91,0,17,124
GT,RR,5,30,0,17,156
SRH,RCB,6,36,2,15,121
DC,RCB,14,120,4,20,197
RCB,GT,5,37,2,19,244
CSK,LSG,15,144,8,17,158
CSK,KKR,9,86,1,13,137
KKR,LSG,9,69,7,10,76
LSG,KKR,13,120,7,18,166
RCB,GT,7,60,4,14,138
KKR,PBKS,5,34,2,10,110
CSK,LSG,13,118,4,15,136
KKR,RR,6,42,0,19,166
KKR,RR,11,71,0,15,116
KKR,GT,6,41,1,14,140
LSG,CSK,11,103,8,12,108
RR,CSK,9,69,2,15,144
PBKS,KKR,5,45,1,12,154
PBKS,DC,10,72,1,14,112
RR,CSK,10,61,8,12,73
GT,RCB,10,99,6,18,163
SRH,RR,15,141,9,19,156
RCB,GT,15,132,4,18,160
PBKS,KKR,9,87,3,16,156
KKR,LSG,8,54,2,18,198
MI,GT,7,44,3,19,198
LSG,DC,11,97,1,12,108
DC,RR,6,50,2,14,153
RR,PBKS,14,127,2,20,199
SRH,RCB,11,71,4,15,119
RR,PBKS,10,61,6,15,106
RCB,KKR,11,97,0,15,145
SRH,KKR,5,38,0,14,166
RR,DC,8,62,4,13,126
GT,SRH,11,92,3,15,128
GT,MI,8,70,1,13,115
DC,PBKS,8,58,5,18,162
PBKS,RR,5,34,3,7,48
CSK,PBKS,10,70,7,14,92
GT,DC,14,138,4,16,157
PBKS,LSG,9,54,6,15,90
GT,KKR,10,60,3,16,125
RCB,DC,7,48,1,19,168
KKR,RR,8,78,3,10,106
SRH,GT,11,74,3,13,93
DC,GT,9,59,7,14,94
MI,PBKS,15,106,1,18,147
DC,SRH,10,76,4,16,138
CSK,MI,12,76,2,13,89
KKR,DC,11,82,8,13,93
GT,CSK,5,45,0,8,82
PBKS,LSG,11,95,8,15,124
RCB,PBKS,12,92,6,17,125
DC,LSG,10,64,2,15,106
MI,DC,6,40,0,17,230
GT,SRH,11,84,2,14,114
PBKS,MI,9,72,1,10,84
KKR,DC,5,47,3,7,75
CSK,GT,9,67,5,13,106
PBKS,GT,8,55,6,14,109
GT,RR,9,73,3,10,87
DC,CSK,5,35,1,14,163
RCB,GT,8,70,2,13,134
PBKS,GT,9,60,4,14,121
SRH,DC,9,57,1,18,169
KKR,SRH,14,104,4,17,135
RR,MI,13,103,3,18,142
GT,PBKS,5,48,0,19,286
LSG,RCB,8,58,1,16,177
DC,MI,9,56,4,14,91
LSG,RR,11,100,5,18,154
MI,CSK,15,142,8,16,147
RCB,CSK,6,40,0,15,130
CSK,GT,5,39,4,13,143
DC,KKR,13,89,8,20,145
GT,CSK,10,60,5,20,148
CSK,KKR,15,110,8,19,135
GT,PBKS,13,82,4,14,89
MI,PBKS,14,127,4,16,146
GT,SRH,13,87,4,18,126
KKR,MI,6,59,3,18,201
RR,KKR,13,92,2,19,138
RCB,DC,5,33,1,12,145
PBKS,LSG,9,77,3,19,216
RCB,DC,15,117,7,17,135
RCB,RR,8,75,3,11,98
GT,MI,11,70,0,16,136
CSK,DC,9,81,3,17,178
CSK,MI,5,47,4,19,215
RR,LSG,12,117,3,19,169
RCB,SRH,8,66,4,14,128
SRH,DC,8,74,5,12,108
KKR,SRH,10,70,0,17,185
CSK,RR,8,58,1,12,123
SRH,LSG,9,89,6,13,129
MI,DC,13,78,0,19,179
PBKS,CSK,11,96,2,18,195
SRH,KKR,7,65,0,17,216
RCB,DC,12,93,7,18,137
GT,RR,14,118,4,20,158
LSG,KKR,12,115,3,14,137
RCB,KKR,13,114,8,19,145
MI,KKR,10,72,2,17,161
DC,KKR,12,86,1,15,130
KKR,RR,9,63,6,17,127
RCB,DC,5,37,4,18,145
GT,SRH,7,45,3,20,195
LSG,RCB,8,61,6,9,70
LSG,MI,8,61,2,13,110
RR,SRH,7,58,2,19,169
SRH,CSK,8,52,6,20,154
RCB,RR,12,72,5,13,81
DC,CSK,7,53,3,11,83
SRH,GT,11,80,5,14,108
CSK,GT,7,57,4,17,176
SRH,PBKS,13,87,4,19,135
PBKS,GT,6,47,2,10,96
KKR,DC,9,55,7,12,71
SRH,LSG,13,95,4,17,131
RR,RCB,10,92,5,20,181
LSG,SRH,11,74,8,15,105
KKR,RCB,6,41,4,11,88
PBKS,LSG,11,105,6,18,179
RCB,CSK,12,101,5,15,126
PBKS,GT,7,58,3,8,70
CSK,DC,13,95,6,20,148
SRH,CSK,8,62,1,14,125
RCB,GT,14,128,8,19,168
RR,CSK,9,57,3,14,116
PBKS,RCB,12,96,1,16,153
GT,KKR,8,69,3,12,111
MI,LSG,8,59,5,12,83
PBKS,SRH,7,52,2,10,76
CSK,LSG,14,121,2,16,136
DC,LSG,9,84,0,10,93
PBKS,GT,15,117,3,18,160
RR,MI,14,84,7,16,99
CSK,SRH,5,42,0,15,172
CSK,SRH,7,59,5,11,106
CSK,LSG,13,88,0,20,197
DC,PBKS,5,35,3,19,152
SRH,LSG,15,107,6,18,136
DC,PBKS,13,78,5,15,98
DC,KKR,14,119,8,17,133
KKR,GT,13,86,6,18,135
RR,GT,15,111,8,16,117
MI,CSK,7,53,2,17,137
LSG,RCB,15,100,1,17,125
MI,SRH,7,42,2,16,145
MI,PBKS,8,73,6,17,155
LSG,MI,5,37,1,10,90
RR,CSK,14,94,2,19,159
LSG,RCB,11,97,6,19,147
SRH,KKR,5,32,1,16,148
PBKS,SRH,15,100,9,16,105
KKR,RR,10,93,3,14,146
CSK,PBKS,15,144,4,16,155
LSG,RR,14,102,1,18,141
GT,SRH,15,95,5,19,122
KKR,RCB,10,90,8,14,108
MI,SRH,9,59,5,10,70
DC,SRH,8,75,2,14,152
LSG,KKR,11,94,0,13,122
PBKS,KKR,10,97,8,13,117
CSK,LSG,8,55,3,13,115
LSG,GT,12,104,1,14,133
MI,CSK,15,131,6,17,150
MI,SRH,6,55,4,11,96
KKR,CSK,14,96,7,15,105
CSK,RR,14,115,2,19,175
RCB,GT,5,32,3,7,56
KKR,SRH,10,96,1,13,139
RR,PBKS,9,83,0,14,165
SRH,PBKS,14,93,2,16,113
KKR,SRH,11,95,8,19,136
SRH,RR,14,129,6,18,159
RCB,RR,7,58,0,9,91
RCB,SRH,15,149,4,17,169
SRH,MI,8,71,3,14,138
DC,PBKS,12,85,5,19,139
GT,SRH,8,74,2,13,119
MI,RCB,13,104,8,18,144
GT,CSK,12,104,8,15,128
CSK,MI,10,72,3,15,120
RCB,MI,14,130,6,16,146
MI,GT,12,103,4,18,146
KKR,MI,9,65,6,18,114
LSG,KKR,10,88,2,19,203
KKR,RR,15,107,5,19,149
GT,SRH,13,90,3,17,132
DC,KKR,12,90,1,16,152
CSK,PBKS,15,122,3,17,147
RCB,KKR,5,34,2,8,62
DC,GT,11,74,4,20,187
PBKS,KKR,8,67,2,14,118
MI,RCB,9,89,3,20,226
DC,SRH,14,85,5,18,118
SRH,DC,14,131,7,17,150
RR,KKR,14,111,3,15,124
GT,MI,15,106,5,19,141
GT,KKR,9,85,1,15,180
PBKS,DC,15,97,1,20,173
DC,MI,14,132,5,15,142
KKR,LSG,11,95,7,19,164
MI,SRH,8,53,3,11,94
RCB,MI,5,35,4,17,186
LSG,KKR,9,60,4,19,156
PBKS,CSK,12,99,8,15,114
GT,DC,12,103,0,15,142
CSK,LSG,10,87,4,16,140
LSG,MI,14,117,3,17,151
MI,KKR,11,106,1,14,146
RR,KKR,12,83,0,17,154
RR,KKR,12,76,7,13,83
RR,SRH,9,83,0,20,246
MI,LSG,11,102,2,17,184
RR,SRH,9,75,4,16,142
SRH,MI,10,65,4,14,93
LSG,SRH,12,87,0,15,122
LSG,MI,5,49,1,15,179
RR,SRH,5,39,4,8,66
MI,PBKS,9,72,6,10,77
MI,PBKS,8,67,6,19,133
MI,DC,14,123,9,15,130
RR,PBKS,15,110,3,16,120
GT,PBKS,12,105,2,19,211
KKR,SRH,11,81,8,14,99
SRH,KKR,6,38,0,18,191
SRH,GT,12,94,4,13,104
RR,SRH,15,135,0,20,186
RR,GT,13,113,5,15,125
LSG,CSK,14,137,4,20,214
GT,PBKS,10,75,7,17,119
MI,RR,14,100,3,16,127
LSG,MI,10,68,8,20,149
DC,RR,14,93,4,18,124
GT,KKR,14,95,9,15,99
DC,MI,9,74,6,11,87
PBKS,CSK,14,94,5,20,137
PBKS,MI,13,109,2,17,169
KKR,DC,14,104,4,18,150
PBKS,MI,11,104,8,18,162
KKR,LSG,10,96,4,17,165
RCB,GT,8,58,6,16,111
CSK,RCB,13,127,6,16,158
DC,PBKS,14,105,1,18,168
KKR,LSG,14,91,1,15,102
KKR,GT,10,81,2,17,136
DC,LSG,6,40,0,16,209
PBKS,DC,8,75,2,9,89
GT,SRH,15,141,2,17,162
RR,GT,13,99,2,17,143
GT,RCB,14,138,2,17,171
KKR,DC,5,34,2,17,158
RR,PBKS,11,96,4,18,159
GT,MI,10,69,1,20,212
SRH,RCB,6,36,4,19,177
LSG,SRH,14,94,6,17,115
RR,RCB,8,70,1,9,83
CSK,RR,9,83,7,14,119
SRH,PBKS,12,115,9,20,152
CSK,PBKS,11,109,4,14,144
DC,KKR,6,49,1,15,181
LSG,SRH,13,120,1,14,134
RCB,RR,11,75,4,12,85
SRH,RCB,12,111,6,18,150
RR,CSK,7,58,2,11,117
MI,PBKS,15,112,1,19,167
LSG,KKR,11,98,6,18,143
LSG,SRH,5,33,4,7,54
SRH,KKR,6,48,3,17,200
PBKS,LSG,11,80,2,14,110
MI,SRH,13,101,1,16,136
MI,PBKS,11,94,5,14,123
KKR,CSK,8,72,0,18,192
PBKS,SRH,11,82,7,12,91
KKR,GT,12,99,5,13,105
RCB,LSG,6,45,0,15,194
CSK,SRH,5,30,0,13,104
RR,DC,11,98,6,13,114
RR,RCB,8,65,6,10,85
LSG,CSK,7,59,4,10,90
RR,SRH,15,100,2,19,144
LSG,DC,8,74,5,17,141
KKR,CSK,7,55,4,15,129
CSK,MI,7,45,0,8,57
SRH,MI,8,77,6,13,105
MI,GT,9,62,1,14,117
GT,RR,14,115,6,20,152
KKR,DC,10,64,5,16,131
DC,CSK,15,145,9,19,164
PBKS,RCB,6,49,3,18,205
LSG,DC,6,55,1,13,122
PBKS,KKR,13,106,3,14,118
KKR,PBKS,5,31,3,7,49
CSK,MI,10,84,4,13,121
GT,PBKS,6,49,0,15,203
SRH,RR,15,136,7,16,141
CSK,MI,11,101,5,16,153
PBKS,LSG,9,61,1,15,151
RR,RCB,13,111,2,20,191
MI,LSG,11,99,3,12,111
PBKS,RR,6,44,4,7,51
MI,LSG,15,133,1,16,145
KKR,MI,5,33,0,14,186
RCB,GT,9,66,7,16,105
PBKS,MI,8,53,2,14,113
SRH,LSG,14,100,9,17,112
RCB,DC,14,123,5,20,191
CSK,GT,12,87,1,20,161
SRH,CSK,9,60,7,11,72
RCB,GT,14,93,1,15,104
LSG,PBKS,14,116,7,19,160
LSG,KKR,12,119,5,16,148
CSK,KKR,8,75,2,12,134
LSG,RCB,15,135,3,16,147
SRH,CSK,6,40,4,17,152
PBKS,MI,14,133,6,18,173
DC,RCB,15,91,2,17,116
MI,RCB,7,68,5,9,82
SRH,KKR,6,57,1,17,194
RR,PBKS,6,48,3,14,122
RR,SRH,8,50,5,16,129
DC,LSG,14,88,7,15,95
PBKS,KKR,12,82,0,19,207
KKR,CSK,14,100,9,19,123
DC,RR,8,50,1,20,243
MI,SRH,11,93,2,12,106
PBKS,GT,13,112,0,17,171
KKR,RCB,13,101,7,17,125
PBKS,RR,7,49,2,16,133
SRH,RR,9,78,1,20,177
SRH,DC,13,121,6,17,158
MI,SRH,7,64,1,17,178
GT,MI,7,53,5,11,99
RR,CSK,10,76,5,18,158
CSK,KKR,11,109,7,18,157
SRH,LSG,15,91,5,17,107
SRH,LSG,12,88,9,19,126
LSG,SRH,8,76,4,14,152
CSK,RR,15,109,4,17,135
GT,PBKS,5,36,4,11,96
LSG,KKR,9,71,3,11,96
RR,DC,5,49,3,18,230
LSG,MI,9,89,1,12,131
GT,DC,12,72,9,14,83
PBKS,GT,12,102,2,13,110
RCB,RR,7,59,0,13,118
RCB,SRH,11,93,1,13,121
SRH,KKR,11,77,8,18,123
GT,SRH,6,59,4,8,72
SRH,KKR,15,115,5,17,132
GT,CSK,13,88,4,19,146
LSG,MI,14,105,0,16,123
PBKS,GT,14,100,7,18,128
CSK,GT,15,121,6,18,152
GT,KKR,11,106,1,14,133
RR,DC,11,88,6,17,151
CSK,DC,12,81,1,19,183
SRH,GT,13,89,1,15,117
KKR,MI,5,49,4,16,172
RR,DC,7,50,0,16,211
DC,RCB,10,80,2,17,144
DC,GT,11,100,2,13,116
LSG,GT,14,98,8,16,111
LSG,SRH,15,120,5,16,130
MI,RR,12,87,3,17,154
CSK,GT,11,105,1,16,152
MI,SRH,13,90,0,17,152
PBKS,DC,9,58,2,10,69
SRH,RCB,14,99,7,18,132
RCB,DC,13,110,8,15,126
GT,PBKS,5,32,0,20,217
CSK,RR,13,100,6,17,142
DC,PBKS,5,47,1,15,148
MI,GT,7,59,3,16,138
PBKS,SRH,7,53,4,13,113
RCB,RR,15,102,0,18,149
KKR,GT,10,61,3,20,196
RR,SRH,14,130,8,16,144
SRH,RCB,9,82,1,18,170
KKR,RCB,15,134,5,17,152
GT,LSG,15,135,2,18,177
GT,PBKS,13,110,9,15,121
PBKS,SRH,11,84,4,15,121
PBKS,SRH,6,58,3,9,89
RR,CSK,8,65,2,12,96
GT,RR,12,77,1,16,135
SRH,RR,12,111,5,20,197
GT,LSG,9,72,6,13,107
CSK,RR,7,58,1,9,85
LSG,DC,11,69,8,20,137
KKR,DC,11,104,3,15,147
LSG,RR,7,58,1,8,71
PBKS,GT,9,88,2,13,129
RR,GT,7,54,3,14,121
DC,KKR,12,100,2,19,194
SRH,KKR,14,89,6,16,101
KKR,GT,11,97,6,13,112
MI,PBKS,5,35,1,9,79
GT,MI,8,57,1,13,102
SRH,KKR,12,91,0,18,163
SRH,CSK,7,50,4,14,96
GT,PBKS,9,56,4,12,89
KKR,MI,13,103,3,15,131
RR,GT,6,45,4,7,54
CSK,GT,8,51,0,13,121
KKR,LSG,14,138,2,15,147
PBKS,KKR,13,82,6,15,102
RCB,KKR,15,122,0,18,162
RR,GT,13,129,5,16,154
MI,SRH,5,32,3,8,67
CSK,RR,11,74,0,18,165
PBKS,SRH,12,73,8,19,119
LSG,MI,15,140,5,18,160
SRH,RR,12,79,8,14,92
DC,GT,7,55,1,13,110
PBKS,RCB,10,86,2,15,147
SRH,MI,11,79,6,12,84
KKR,PBKS,6,44,3,17,134
PBKS,RR,12,105,9,16,120
MI,LSG,8,48,4,10,62
KKR,GT,9,59,6,18,124
MI,SRH,13,112,6,16,134
GT,SRH,7,43,5,9,63
GT,DC,9,83,2,19,184
RCB,KKR,12,98,1,17,165
DC,RCB,10,68,2,19,194
RR,KKR,11,91,0,15,144
PBKS,GT,11,78,6,16,124
GT,RCB,10,62,6,16,104
DC,PBKS,12,85,2,17,131
CSK,RCB,14,101,9,19,126
RR,LSG,7,51,2,18,169
RCB,PBKS,10,75,4,15,113
CSK,RCB,9,63,6,20,171
MI,LSG,9,86,4,15,127
RR,KKR,10,91,4,11,98
GT,MI,8,55,2,14,103
LSG,DC,9,56,7,13,75
CSK,GT,13,119,3,15,138
RR,KKR,5,35,4,14,101
KKR,LSG,10,91,1,14,142
MI,DC,13,114,0,18,164
LSG,SRH,14,121,4,15,130
PBKS,RCB,11,99,7,16,127
KKR,RCB,12,78,5,14,100
DC,PBKS,7,53,4,9,66
RCB,PBKS,13,82,8,16,99
RR,CSK,5,46,2,11,138
RCB,RR,11,85,7,16,125
LSG,RCB,6,54,3,17,195
SRH,MI,11,101,8,18,136
PBKS,GT,5,47,4,10,110
GT,KKR,8,62,1,12,127
RR,CSK,6,51,3,11,93
GT,DC,6,46,2,10,100
PBKS,MI,6,49,1,8,80
RCB,GT,10,81,5,20,199
RR,KKR,14,136,6,20,181
PBKS,MI,6,40,2,15,154
PBKS,CSK,15,90,9,18,103
CSK,DC,9,75,1,16,189
SRH,RCB,9,86,7,16,142
GT,RR,6,50,3,14,137
DC,CSK,13,125,1,16,161
MI,CSK,8,58,4,10,74
LSG,MI,15,143,6,17,158
GT,SRH,12,116,3,19,184
LSG,KKR,8,67,3,13,107
SRH,KKR,7,42,1,11,77
CSK,RR,10,69,8,20,121
MI,DC,8,62,1,14,116
RCB,CSK,14,93,8,19,128
RCB,LSG,5,41,2,6,53
RR,GT,7,55,1,18,190
DC,MI,8,70,2,13,112
GT,PBKS,8,59,2,18,159
DC,SRH,15,133,7,19,156
LSG,GT,6,52,3,7,61
DC,GT,12,81,2,18,152
PBKS,KKR,8,77,1,20,246
CSK,PBKS,7,67,4,10,103
LSG,PBKS,14,138,0,15,147
KKR,PBKS,13,125,1,20,185
RR,CSK,5,36,1,15,131
CSK,KKR,8,62,2,18,140
DC,SRH,15,110,3,17,129
LSG,SRH,9,62,5,18,142
PBKS,DC,10,65,2,13,103
RR,KKR,10,60,0,16,131
RR,CSK,14,95,6,17,120
MI,CSK,14,131,8,16,139
CSK,DC,14,120,6,19,168
RCB,RR,14,112,3,20,182
PBKS,KKR,12,73,7,17,116
GT,MI,10,90,5,19,171
RR,DC,14,85,0,16,111
RR,KKR,9,56,1,14,122
RCB,DC,13,114,6,14,121
KKR,PBKS,14,117,6,20,162
RCB,MI,10,85,8,17,130
DC,PBKS,11,78,1,18,166
CSK,GT,15,102,1,18,140
PBKS,RCB,12,105,9,16,127
SRH,DC,14,129,3,17,163
GT,RR,11,101,2,12,111
PBKS,MI,12,100,7,13,106
RCB,GT,7,58,5,17,118
MI,GT,5,43,0,14,195
CSK,RR,9,56,6,20,166
RCB,LSG,11,95,8,18,145
RR,SRH,8,49,3,16,113
KKR,LSG,7,51,5,14,113
PBKS,LSG,10,96,2,12,116
PBKS,CSK,6,54,2,11,115
MI,LSG,13,125,9,15,137
PBKS,KKR,9,61,0,13,132
DC,GT,6,57,2,13,138
RCB,GT,12,79,2,16,138
DC,KKR,11,95,6,15,135
MI,DC,8,68,0,10,87
SRH,DC,12,81,3,16,111
GT,CSK,12,100,1,16,162
MI,PBKS,14,125,7,17,149
DC,SRH,9,87,3,19,196
SRH,CSK,14,91,9,16,105
DC,LSG,6,39,1,20,259
RCB,PBKS,6,41,1,10,79
GT,KKR,15,96,9,19,124
GT,RCB,10,74,7,12,86
SRH,LSG,11,94,5,12,104
KKR,GT,7,43,1,17,141
MI,RCB,8,74,6,14,133
DC,LSG,6,44,0,16,191
LSG,RCB,5,46,2,13,168
KKR,MI,15,143,0,20,215
RCB,GT,8,60,1,15,120
LSG,GT,15,143,6,19,184
DC,LSG,14,86,4,18,119
PBKS,RCB,6,56,0,17,219
PBKS,GT,8,73,4,14,123
GT,RR,7,43,3,14,94
RCB,RR,6,51,4,7,61
SRH,RCB,6,56,2,14,156
LSG,CSK,6,38,0,16,152
KKR,DC,11,96,4,20,212
SRH,MI,12,91,1,17,159
PBKS,RCB,15,98,9,18,114
DC,SRH,9,89,2,17,189
MI,RCB,8,75,4,13,135
KKR,GT,8,58,5,9,68
RR,MI,9,57,4,18,149
MI,KKR,5,30,2,17,216
KKR,RR,14,131,7,17,155
GT,PBKS,10,98,4,15,138
PBKS,DC,15,122,8,16,127
RR,DC,11,103,2,19,178
CSK,KKR,14,86,8,18,107
RR,DC,7,66,3,14,163
LSG,SRH,9,75,3,19,208
KKR,RCB,15,110,0,20,192
MI,RR,9,59,7,14,89
CSK,RCB,5,47,2,19,261
GT,CSK,11,79,8,16,100
DC,LSG,12,102,7,17,138
SRH,MI,8,67,2,16,134
PBKS,DC,14,117,3,15,124
RCB,DC,13,100,3,17,140
GT,CSK,9,57,0,10,74
RCB,DC,11,80,4,20,152
RCB,SRH,9,69,0,12,99
PBKS,KKR,8,58,5,10,79
PBKS,SRH,15,144,9,18,159
GT,SRH,10,78,0,13,118
PBKS,LSG,10,69,8,14,96
KKR,DC,15,95,9,17,105
SRH,KKR,8,49,2,11,90
RR,SRH,10,77,6,18,129
CSK,KKR,7,49,1,20,215
GT,PBKS,8,49,3,19,170
RCB,MI,5,32,1,17,176
PBKS,KKR,9,71,7,20,129
RCB,LSG,7,44,2,10,82
GT,SRH,15,149,1,20,207
SRH,CSK,6,56,0,9,89
GT,RCB,8,57,5,13,99
DC,CSK,14,121,5,17,150
KKR,PBKS,5,30,2,10,85
DC,LSG,5,33,2,8,69
RCB,RR,12,84,6,15,103
KKR,RCB,9,74,5,16,131
LSG,MI,13,88,2,20,193
SRH,LSG,7,45,0,10,78
MI,SRH,11,93,5,17,160
LSG,SRH,6,38,3,15,159
DC,RR,5,44,4,8,82
MI,SRH,5,33,4,9,68
SRH,GT,14,111,4,18,156
RCB,CSK,15,129,1,16,141
SRH,KKR,6,56,1,11,126
GT,SRH,9,84,2,12,118
SRH,CSK,8,70,5,18,178
RR,SRH,10,65,7,12,82
CSK,LSG,7,53,0,12,128
RR,GT,6,56,4,17,165
DC,SRH,8,71,2,14,121
KKR,RCB,14,91,1,20,159
KKR,DC,14,133,7,17,160
RR,MI,7,68,3,11,116
LSG,PBKS,5,38,2,11,129
RR,PBKS,6,46,3,19,231
RCB,MI,11,92,2,13,108
GT,DC,7,58,0,15,163
GT,RR,6,43,2,8,72
CSK,KKR,8,64,3,10,91
LSG,PBKS,12,74,8,19,124
PBKS,MI,6,58,0,11,123
RCB,KKR,12,74,2,13,84
GT,PBKS,15,123,5,19,164
KKR,GT,8,49,4,10,75
SRH,DC,9,77,2,16,152
CSK,DC,8,58,1,16,165
RR,KKR,10,94,8,13,112
PBKS,MI,13,88,1,17,152
KKR,SRH,11,106,6,20,182
GT,LSG,15,119,1,18,167
RCB,LSG,15,147,3,18,179
SRH,GT,6,38,1,9,66
PBKS,CSK,15,136,1,18,177
KKR,MI,5,43,0,12,157
PBKS,LSG,14,96,0,19,157
RR,GT,14,91,8,19,130
MI,KKR,11,90,1,18,169
MI,RCB,15,149,3,20,207
PBKS,LSG,15,97,1,17,121
DC,SRH,14,132,8,20,172
MI,LSG,8,66,2,17,143
GT,RCB,8,74,1,14,139
GT,PBKS,14,125,7,20,178
PBKS,GT,7,67,1,17,200
PBKS,SRH,11,78,6,13,89
RR,CSK,10,94,0,11,107
RCB,SRH,11,103,5,15,138
LSG,RR,11,105,4,20,165
RR,SRH,13,94,2,19,168
RR,PBKS,8,55,2,9,67
DC,LSG,7,62,0,16,167
SRH,MI,11,79,7,14,96
RR,RCB,12,79,0,20,208
GT,CSK,7,68,0,13,137
PBKS,CSK,10,64,7,12,78
PBKS,CSK,12,77,2,17,126
KKR,MI,7,63,4,10,92
GT,CSK,15,114,2,20,189
MI,KKR,5,41,2,20,195
GT,PBKS,6,51,3,9,93
SRH,GT,5,42,4,14,140
DC,CSK,10,66,3,20,204
LSG,RCB,15,94,9,16,97
PBKS,CSK,13,88,5,17,115
CSK,GT,6,40,2,20,175
GT,RCB,8,79,2,14,154
RCB,SRH,11,77,0,20,192
MI,GT,13,83,5,18,138
RCB,RR,5,32,4,12,81
PBKS,GT,8,49,6,9,57
LSG,SRH,8,57,6,20,134
CSK,SRH,10,90,5,15,135
RR,PBKS,14,139,4,16,159
LSG,GT,12,95,0,16,146
DC,MI,6,53,2,14,171
MI,RR,6,44,0,8,68
PBKS,GT,10,95,6,11,101
CSK,LSG,8,71,6,16,115
RR,GT,9,67,2,15,148
LSG,KKR,6,38,2,8,64
KKR,RCB,14,118,7,16,135
RR,RCB,14,113,7,17,140
LSG,PBKS,8,49,6,20,168
PBKS,RR,14,111,3,20,174
MI,LSG,7,58,0,15,163
GT,MI,12,101,5,15,134
DC,RR,5,36,4,20,191
MI,LSG,14,127,2,15,141
PBKS,GT,14,96,8,16,107
LSG,RCB,8,60,4,15,128
PBKS,RR,12,74,9,13,79
KKR,LSG,9,73,0,15,154
